pixel,intensity
891.0,12.419743
892.0,12.980755
893.0,9.143911
894.0,6.30476
895.0,6.405293
896.0,6.7474275
897.0,5.267827
898.0,9.833333
899.0,11.133034
900.0,11.224972
901.0,16.363068
902.0,14.417389
903.0,9.340771
904.0,7.224572
905.0,6.444205
906.0,4.136558
907.0,4.4378424
908.0,5.5226083
909.0,4.5215535
910.0,3.720513
911.0,3.055373
912.0,2.6666667
913.0,2.6589957
914.0,2.5998757
915.0,2.444375
916.0,5.2440443
917.0,2.9154758
918.0,3.300239
919.0,3.480102
920.0,4.3426405
921.0,3.9616215
922.0,2.2791594
923.0,1.8708287
924.0,2.4381232
925.0,2.9154758
926.0,3.5707142
927.0,3.0731814
928.0,2.5
929.0,3.082207
930.0,2.6509957
931.0,2.420973
932.0,2.5495098
933.0,5.3567195
934.0,7.7477593
935.0,4.6398034
936.0,3.756476
937.0,6.8556547
938.0,6.186904
939.0,3.7416575
940.0,2.598076
941.0,3.9930496
942.0,4.2130747
943.0,6.8027773
944.0,23.459776
945.0,29.525414
946.0,23.56787
947.0,11.759157
948.0,4.7900357
949.0,11.22621
950.0,15.846486
951.0,16.523552
952.0,14.466436
953.0,14.899665
954.0,23.690716
955.0,25.815586
956.0,8.252946
957.0,3.7749171
958.0,3.2058973
959.0,2.5221243
960.0,3.4439964
961.0,4.013865
962.0,3.122499
963.0,3.391165
964.0,9.07071
965.0,9.955457
966.0,9.718253
967.0,7.6992064
968.0,6.5975585
969.0,9.7851925
970.0,13.35207
971.0,11.410278
972.0,6.5149403
973.0,6.827233
974.0,4.3011627
975.0,5.0442486
976.0,13.076696
977.0,10.195314
978.0,4.4190245
979.0,3.9193254
980.0,3.4318767
981.0,4.2849865
982.0,4.7813296
983.0,3.08671
984.0,3.8873012
985.0,5.174725
986.0,10.817938
987.0,18.088516
988.0,14.713939
989.0,9.382312
990.0,9.924717
991.0,6.819091
992.0,11.103053
993.0,11.522924
994.0,4.387482
995.0,5.87367
996.0,5.6347136
997.0,7.28011
998.0,8.6602545
999.0,8.56511
1000.0,5.372254
1001.0,2.9627314
1002.0,4.0960684
1003.0,14.327518
1004.0,10.3293
1005.0,10.611838
1006.0,14.841758
1007.0,12.942179
1008.0,16.465452
1009.0,8.922506
1010.0,4.5491147
1011.0,4.9497476
1012.0,8.671473
1013.0,4.8333335
1014.0,4.1666665
1015.0,6.0850453
1016.0,7.81025
1017.0,5.8523498
